[harness] tree 8130e4d
[SIM_TUNE] {"DAWN_LIVE":1,"STATE_RECORDS":1,"LAND_KNOW":1,"PEER_SEATS":1,"FOUND_DRIFT":1,"ABSORB_ORG_ERA":1,"TRIBUTE_UP":0.33,"ENGULF":8,"FEAR_REACH":1,"WAR_FINISH":1,"SMALL_WAR":8,"RELIEF_REACH":1,"EXCH_WAVE":3,"TECH_USE":1,"VASSAL_LEVY":0.5,"DISSOLVE_CORE":1,"SETT_STRIDE":3,"TRADE_STRIDE":5,"LEAN_YEAR":1}
[peopleSim] hearth pin Nile picked at tile (138,40) (27.0E 30.0N) — maturity deferred to the stagger law
[peopleSim] hearth pin Mesopotamia picked at tile (149,38) (43.5E 33.0N) — maturity deferred to the stagger law
[peopleSim] hearth pin Indus picked at tile (167,41) (70.5E 28.5N) — maturity deferred to the stagger law
[peopleSim] hearth pin Yellow River picked at tile (196,38) (114.0E 33.0N) — maturity deferred to the stagger law
[peopleSim] hearth candidate at (138,40) (27.0E 30.0N) score 6.39 pkg=wheat(suit 0.92) — ARMED: ~974y of peopled-basin time from maturity
[peopleSim] hearth candidate at (149,38) (43.5E 33.0N) score 4.32 pkg=wheat(suit 0.69) — ARMED: ~1311y of peopled-basin time from maturity
[peopleSim] hearth candidate at (167,41) (70.5E 28.5N) score 6.34 pkg=wheat(suit 0.98) — ARMED: ~922y of peopled-basin time from maturity
[peopleSim] hearth candidate at (196,38) (114.0E 33.0N) score 4.11 pkg=rice(suit 0.81) — ARMED: ~3106y of peopled-basin time from maturity
[peopleSim] hearth candidate at (58,38) (-93.0E 33.0N) score 5.34 pkg=maize(suit 0.87) — ARMED: ~5148y of peopled-basin time from maturity
[peopleSim] hearth candidate at (111,53) (-13.5E 10.5N) score 1.76 pkg=sorghum(suit 0.64) — ARMED: ~3133y of peopled-basin time from maturity
[peopleSim] hearth candidate at (140,73) (30.0E -19.5N) score 1.32 pkg=tubers(suit 0.93) — ARMED: ~3243y of peopled-basin time from maturity
[peopleSim] hearth candidate at (77,72) (-64.5E -18.0N) score 0.87 pkg=tubers(suit 0.57) — ARMED: ~5283y of peopled-basin time from maturity
[peopleSim] hearth candidate at (31,23) (-133.5E 55.5N) score 0.50 — ARMED: ~13000y of peopled-basin time from maturity
[peopleSim] hearth candidate at (117,23) (-4.5E 55.5N) score 0.50 — ARMED: ~13000y of peopled-basin time from maturity

=== EGYPT AUTOPSY  480x240 (tw=240)  seed 8817  box lon 24..36 lat 20..33 (66 land tiles) ===
  step | box: sett  Σpeople | largest (people/urban  fed  dis  org) cid | realm@box: id  boxT  worldT   km²  mem  cap/load  fronts | field: Σpop  Σcap
[popField] worker pool engaged: 4 bands
[transHeap] step=24 cap=1024 peakN=0 pushes=0 (0.0MB backing)
   100 |   0       0 |   (none) |         (no realm owns the box) | 6017 19605
   200 |   0       0 |   (none) |         (no realm owns the box) | 6149 19605
   300 |   0       0 |   (none) |         (no realm owns the box) | 6282 19605
   400 |   0       0 |   (none) |         (no realm owns the box) | 6414 19605
   500 |   0       0 |   (none) |         (no realm owns the box) | 6547 19605
   600 |   0       0 |   (none) |         (no realm owns the box) | 6681 19605
   700 |   0       0 |   (none) |         (no realm owns the box) | 6814 19605
   800 |   0       0 |   (none) |         (no realm owns the box) | 6949 19605
   900 |   0       0 |   (none) |         (no realm owns the box) | 7084 19605
  1000 |   0       0 |   (none) |         (no realm owns the box) | 7219 19605
  1100 |   0       0 |   (none) |         (no realm owns the box) | 7355 19605
  1200 |   0       0 |   (none) |         (no realm owns the box) | 7491 19605
  1300 |   0       0 |   (none) |         (no realm owns the box) | 7628 19605
  1400 |   0       0 |   (none) |         (no realm owns the box) | 7765 19605
  1500 |   0       0 |   (none) |         (no realm owns the box) | 7902 19605
  1600 |   0       0 |   (none) |         (no realm owns the box) | 8039 19605
  1700 |   0       0 |   (none) |         (no realm owns the box) | 8177 19605
  1800 |   0       0 |   (none) |         (no realm owns the box) | 8315 19605
  1900 |   0       0 |   (none) |         (no realm owns the box) | 8452 19605
  2000 |   0       0 |   (none) |         (no realm owns the box) | 8590 19605
  2100 |   0       0 |   (none) |         (no realm owns the box) | 8729 19605
  2200 |   0       0 |   (none) |         (no realm owns the box) | 8867 19605
  2300 |   0       0 |   (none) |         (no realm owns the box) | 9005 19605
  2400 |   0       0 |   (none) |         (no realm owns the box) | 9143 19605
  2500 |   0       0 |   (none) |         (no realm owns the box) | 9280 19605
  2600 |   0       0 |   (none) |         (no realm owns the box) | 9418 19605
  2700 |   0       0 |   (none) |         (no realm owns the box) | 9555 19605
  2800 |   0       0 |   (none) |         (no realm owns the box) | 9692 19605
  2900 |   0       0 |   (none) |         (no realm owns the box) | 9829 19605
  3000 |   0       0 |   (none) |         (no realm owns the box) | 9965 19605
  3100 |   0       0 |   (none) |         (no realm owns the box) | 10101 19605
  3200 |   0       0 |   (none) |         (no realm owns the box) | 10237 19605
  3300 |   0       0 |   (none) |         (no realm owns the box) | 10372 19605
  3400 |   0       0 |   (none) |         (no realm owns the box) | 10506 19605
  3500 |   0       0 |   (none) |         (no realm owns the box) | 10640 19605
  3600 |   0       0 |   (none) |         (no realm owns the box) | 10773 19605
  3700 |   0       0 |   (none) |         (no realm owns the box) | 10905 19605
